-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 01/01/2018 through 12/31/2018 
Location: Latitude  -0.9144   Longitude -89.6156 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 9.95 meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_LW_DWN SRB/FLASHFlux 1/2x1/2 Downward Thermal Infrared (Longwave) Radiative Flux (kW-hr/m^2/day) 
TS MERRA2 1/2x1/2 Earth Skin Temperature (C) 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_LW_DWN,TS,ALLSKY_SFC_SW_DWN
-0.91439,-89.61559,2018,03,21,             10.00,   27.31,              7.10
-0.91439,-89.61559,2018,03,22,              9.91,   27.33,              6.50
-0.91439,-89.61559,2018,03,23,              9.84,   27.16,              7.20
-0.91439,-89.61559,2018,03,24,              9.72,   26.68,              7.18
-0.91439,-89.61559,2018,03,25,              9.64,   26.26,              7.19
-0.91439,-89.61559,2018,03,26,              9.65,   26.04,              6.98
-0.91439,-89.61559,2018,03,27,              9.21,   25.86,              7.29
-0.91439,-89.61559,2018,03,28,              9.46,   25.67,              7.17
-0.91439,-89.61559,2018,03,29,              9.83,   25.45,              5.52
-0.91439,-89.61559,2018,03,30,              9.40,   25.36,-999
-0.91439,-89.61559,2018,03,31,              9.31,   25.43,              7.26
-0.91439,-89.61559,2018,04,01,             10.05,   25.11,              6.63
-0.91439,-89.61559,2018,04,02,              9.68,   25.00,              7.13
-0.91439,-89.61559,2018,04,03,              9.36,   24.77,              7.22
-0.91439,-89.61559,2018,04,04,              9.41,   24.83,              7.11
-0.91439,-89.61559,2018,04,05,              9.43,   24.95,              7.11
-0.91439,-89.61559,2018,04,06,              9.34,   25.38,              7.17
-0.91439,-89.61559,2018,04,07,              9.36,   25.47,              6.98
-0.91439,-89.61559,2018,04,08,              9.39,   25.47,              7.13
-0.91439,-89.61559,2018,04,09,              9.22,   25.47,              7.14
-0.91439,-89.61559,2018,04,10,              9.37,   25.41,              7.14
-0.91439,-89.61559,2018,04,11,              9.27,   25.14,              7.09
-0.91439,-89.61559,2018,04,12,              9.14,   25.05,              7.21
-0.91439,-89.61559,2018,04,13,              9.66,   24.83,              5.95
-0.91439,-89.61559,2018,04,14,              9.85,   24.62,              5.47
-0.91439,-89.61559,2018,04,15,              9.14,   24.48,              7.13
-0.91439,-89.61559,2018,04,16,              9.32,   24.38,              6.56
-0.91439,-89.61559,2018,04,17,              9.42,   24.39,              6.85
-0.91439,-89.61559,2018,04,18,              9.50,   24.72,              6.90
-0.91439,-89.61559,2018,04,19,              9.97,   25.06,              6.66
-0.91439,-89.61559,2018,04,20,              9.65,   25.14,              6.88
-0.91439,-89.61559,2018,04,21,              9.97,   25.40,              5.79
-0.91439,-89.61559,2018,04,22,             10.06,   25.68,              5.87
-0.91439,-89.61559,2018,04,23,              9.84,   25.52,              5.87
-0.91439,-89.61559,2018,04,24,              9.62,   25.45,              6.64
-0.91439,-89.61559,2018,04,25,              9.55,   25.52,              6.44
-0.91439,-89.61559,2018,04,26,              9.95,   25.49,              6.01
-0.91439,-89.61559,2018,04,27,              9.72,   25.49,              6.30
-0.91439,-89.61559,2018,04,28,              9.71,   25.27,              6.66
-0.91439,-89.61559,2018,04,29,              9.65,   25.41,              6.60
-0.91439,-89.61559,2018,04,30,              9.60,   25.62,              6.58
-0.91439,-89.61559,2018,05,01,              9.71,   25.87,              6.64
-0.91439,-89.61559,2018,05,02,              9.95,   26.13,              5.35
-0.91439,-89.61559,2018,05,03,              9.94,   26.34,              6.71
-0.91439,-89.61559,2018,05,04,              9.90,   26.24,              6.21
-0.91439,-89.61559,2018,05,05,             10.05,   26.02,              6.07
-0.91439,-89.61559,2018,05,06,              9.80,   25.95,              6.35
-0.91439,-89.61559,2018,05,07,              9.71,   25.75,              6.56
-0.91439,-89.61559,2018,05,08,              9.93,   25.67,              6.43
-0.91439,-89.61559,2018,05,09,              9.81,   25.58,              6.33
-0.91439,-89.61559,2018,05,10,             10.08,   25.51,              4.16
-0.91439,-89.61559,2018,05,11,              9.74,   25.54,              6.26
-0.91439,-89.61559,2018,05,12,              9.65,   25.50,              6.62
-0.91439,-89.61559,2018,05,13,              9.71,   25.33,              6.39
-0.91439,-89.61559,2018,05,14,              9.72,   25.18,              6.49
-0.91439,-89.61559,2018,05,15,              9.51,   24.92,              6.58
-0.91439,-89.61559,2018,05,16,              9.58,   24.68,              6.21
-0.91439,-89.61559,2018,05,17,              9.94,   24.71,              5.60
-0.91439,-89.61559,2018,05,18,              9.68,   24.64,              6.20
-0.91439,-89.61559,2018,05,19,              9.96,   24.47,              4.00
-0.91439,-89.61559,2018,05,20,              9.37,   24.55,              6.40
-0.91439,-89.61559,2018,05,21,              9.74,   24.44,              5.63
-0.91439,-89.61559,2018,05,22,              9.77,   24.33,              5.81
-0.91439,-89.61559,2018,05,23,              9.75,   24.06,              6.19
-0.91439,-89.61559,2018,05,24,             10.21,   24.05,              4.82
-0.91439,-89.61559,2018,05,25,              9.93,   24.08,              4.71
-0.91439,-89.61559,2018,05,26,              9.48,   24.23,              6.20
-0.91439,-89.61559,2018,05,27,              9.48,   24.29,              6.30
-0.91439,-89.61559,2018,05,28,              9.59,   24.20,              6.33
-0.91439,-89.61559,2018,05,29,              9.61,   24.08,              6.01
-0.91439,-89.61559,2018,05,30,              9.72,   23.84,              6.20
-0.91439,-89.61559,2018,05,31,             10.07,   23.68,              3.82
-0.91439,-89.61559,2018,06,01,              9.08,   23.77,              6.41
-0.91439,-89.61559,2018,06,02,              9.67,   23.74,              4.22
-0.91439,-89.61559,2018,06,03,              9.68,   23.61,              5.48
-0.91439,-89.61559,2018,06,04,             10.06,   23.55,              4.26
-0.91439,-89.61559,2018,06,05,              9.44,   23.54,              5.98
-0.91439,-89.61559,2018,06,06,              9.55,   23.59,              5.88
-0.91439,-89.61559,2018,06,07,              9.76,   23.50,              5.32
-0.91439,-89.61559,2018,06,08,              9.90,   23.44,              5.83
-0.91439,-89.61559,2018,06,09,              9.69,   23.31,              5.51
-0.91439,-89.61559,2018,06,10,              9.71,   23.38,              4.57
-0.91439,-89.61559,2018,06,11,              9.96,   23.28,              4.86
-0.91439,-89.61559,2018,06,12,              9.82,   23.22,              4.51
-0.91439,-89.61559,2018,06,13,              9.86,   23.00,              4.83
-0.91439,-89.61559,2018,06,14,              9.72,   23.01,              4.26
-0.91439,-89.61559,2018,06,15,              9.38,   23.11,              4.41
-0.91439,-89.61559,2018,06,16,              9.83,   23.19,              5.02
-0.91439,-89.61559,2018,06,17,             10.00,   23.25,              4.84
-0.91439,-89.61559,2018,06,18,              9.96,   23.36,              5.35
-0.91439,-89.61559,2018,06,19,             10.22,   23.35,              3.88
-0.91439,-89.61559,2018,06,20,              9.54,   23.19,              5.56
-0.91439,-89.61559,2018,06,21,              9.63,   23.18,              5.29
-0.91439,-89.61559,2018,06,22,              9.95,   23.24,              4.92
-0.91439,-89.61559,2018,06,23,             10.20,   23.21,              3.98
-0.91439,-89.61559,2018,06,24,              9.89,   23.18,              4.46
-0.91439,-89.61559,2018,06,25,              9.93,   23.25,              4.26
-0.91439,-89.61559,2018,06,26,              9.96,   23.46,              4.54
-0.91439,-89.61559,2018,06,27,             10.00,   23.59,              5.51
-0.91439,-89.61559,2018,06,28,             10.27,   23.61,              3.68
-0.91439,-89.61559,2018,06,29,             10.14,   23.67,              4.73
-0.91439,-89.61559,2018,06,30,             10.33,   23.94,              2.54
-0.91439,-89.61559,2018,07,01,             10.21,   24.08,              3.75
-0.91439,-89.61559,2018,07,02,              9.92,   24.05,              5.05
-0.91439,-89.61559,2018,07,03,             10.12,   24.27,              4.41
-0.91439,-89.61559,2018,07,04,             10.09,   24.35,              5.45
-0.91439,-89.61559,2018,07,05,              9.61,   24.51,              6.10
-0.91439,-89.61559,2018,07,06,              9.98,   24.54,              5.30
-0.91439,-89.61559,2018,07,07,             10.17,   24.33,              2.86
-0.91439,-89.61559,2018,07,08,             10.16,   24.09,              3.96
-0.91439,-89.61559,2018,07,09,              9.90,   23.88,              5.99
-0.91439,-89.61559,2018,07,10,              9.89,   23.61,              5.43
-0.91439,-89.61559,2018,07,11,              9.78,   23.35,              5.72
-0.91439,-89.61559,2018,07,12,              9.60,   23.30,              4.85
-0.91439,-89.61559,2018,07,13,              9.92,   23.39,              4.98
-0.91439,-89.61559,2018,07,14,             10.12,   23.43,              4.91
-0.91439,-89.61559,2018,07,15,              9.86,   23.49,              4.62
-0.91439,-89.61559,2018,07,16,              9.83,   23.64,              5.09
-0.91439,-89.61559,2018,07,17,             10.18,   23.75,              4.46
-0.91439,-89.61559,2018,07,18,              9.64,   23.89,              5.88
-0.91439,-89.61559,2018,07,19,              9.73,   23.97,              5.57
-0.91439,-89.61559,2018,07,20,              9.79,   24.06,              5.77
-0.91439,-89.61559,2018,07,21,              9.88,   23.82,              5.10
-0.91439,-89.61559,2018,07,22,             10.20,   23.48,-999
-0.91439,-89.61559,2018,07,23,              9.59,   23.28,              6.16
-0.91439,-89.61559,2018,07,24,              9.44,   22.78,              5.38
-0.91439,-89.61559,2018,07,25,              9.84,   22.62,              3.80
-0.91439,-89.61559,2018,07,26,             10.04,   22.26,              4.88
-0.91439,-89.61559,2018,07,27,              9.66,   22.12,              6.14
-0.91439,-89.61559,2018,07,28,              9.58,   22.19,              5.77
-0.91439,-89.61559,2018,07,29,              9.98,   22.29,-999
-0.91439,-89.61559,2018,07,30,              9.96,   22.50,              3.05
-0.91439,-89.61559,2018,07,31,              9.96,   22.66,              4.91
-0.91439,-89.61559,2018,08,01,             10.15,   22.56,              2.94
-0.91439,-89.61559,2018,08,02,             10.22,   22.51,              4.64
-0.91439,-89.61559,2018,08,03,              9.48,   22.62,              6.38
-0.91439,-89.61559,2018,08,04,              9.72,   22.69,              5.20
-0.91439,-89.61559,2018,08,05,              9.97,   22.70,-999
-0.91439,-89.61559,2018,08,06,             10.19,   22.74,              3.43
-0.91439,-89.61559,2018,08,07,              9.73,   22.83,              6.13
-0.91439,-89.61559,2018,08,08,             10.02,   22.70,              3.82
-0.91439,-89.61559,2018,08,09,             10.25,   22.75,              4.07
-0.91439,-89.61559,2018,08,10,             10.08,   22.66,              3.82
-0.91439,-89.61559,2018,08,11,             10.09,   22.63,              3.72
-0.91439,-89.61559,2018,08,12,              9.94,   22.61,              5.33
-0.91439,-89.61559,2018,08,13,              9.75,   22.67,              5.84
-0.91439,-89.61559,2018,08,14,              9.96,   22.77,              5.07
-0.91439,-89.61559,2018,08,15,              9.60,   22.93,              6.48
-0.91439,-89.61559,2018,08,16,              9.86,   22.92,              6.26
-0.91439,-89.61559,2018,08,17,              9.75,   22.85,              5.73
-0.91439,-89.61559,2018,08,18,              9.73,   22.94,              6.28
-0.91439,-89.61559,2018,08,19,             10.06,   23.00,              3.56
-0.91439,-89.61559,2018,08,20,              9.84,   23.14,              5.44
-0.91439,-89.61559,2018,08,21,              9.60,   23.16,              6.27
-0.91439,-89.61559,2018,08,22,              9.83,   23.17,              5.81
-0.91439,-89.61559,2018,08,23,             10.16,   23.09,              4.09
-0.91439,-89.61559,2018,08,24,              9.99,   23.01,              5.46
-0.91439,-89.61559,2018,08,25,              9.85,   23.04,              4.95
-0.91439,-89.61559,2018,08,26,              9.67,   22.80,              5.81
-0.91439,-89.61559,2018,08,27,              9.74,   22.66,              6.05
-0.91439,-89.61559,2018,08,28,             10.08,   22.66,              6.00
-0.91439,-89.61559,2018,08,29,              9.78,   22.75,              5.84
-0.91439,-89.61559,2018,08,30,             10.22,   22.89,              3.81
-0.91439,-89.61559,2018,08,31,              9.94,   23.04,              4.70
-0.91439,-89.61559,2018,09,01,              9.91,   23.13,              5.68
-0.91439,-89.61559,2018,09,02,              9.77,   23.08,              5.01
-0.91439,-89.61559,2018,09,03,              9.86,   22.92,              5.99
-0.91439,-89.61559,2018,09,04,              9.84,   22.75,              5.95
-0.91439,-89.61559,2018,09,05,             10.02,   22.91,              5.40
-0.91439,-89.61559,2018,09,06,             10.11,   23.00,              5.40
-0.91439,-89.61559,2018,09,07,              9.96,   23.14,              5.10
-0.91439,-89.61559,2018,09,08,              9.91,   23.35,              6.05
-0.91439,-89.61559,2018,09,09,              9.84,   23.37,              5.45
-0.91439,-89.61559,2018,09,10,             10.12,   23.41,              4.47
-0.91439,-89.61559,2018,09,11,             10.21,   23.33,              3.88
-0.91439,-89.61559,2018,09,12,             10.18,   23.27,              5.20
-0.91439,-89.61559,2018,09,13,             10.12,   22.87,              4.45
-0.91439,-89.61559,2018,09,14,              9.91,   22.28,              5.50
-0.91439,-89.61559,2018,09,15,              9.78,   21.81,              5.57
-0.91439,-89.61559,2018,09,16,              9.51,   21.49,              6.64
-0.91439,-89.61559,2018,09,17,              9.58,   21.32,              6.62
-0.91439,-89.61559,2018,09,18,              9.65,   21.07,-999
-0.91439,-89.61559,2018,09,19,              9.94,   21.01,              4.91
-0.91439,-89.61559,2018,09,20,              9.95,   21.10,              3.98
-0.91439,-89.61559,2018,09,21,              9.56,   21.34,              5.78
-0.91439,-89.61559,2018,09,22,              9.63,   21.39,              5.92
-0.91439,-89.61559,2018,09,23,              9.91,   21.85,              3.67
-0.91439,-89.61559,2018,09,24,             10.11,   22.18,              4.78
-0.91439,-89.61559,2018,09,25,              9.62,   22.75,              5.42
-0.91439,-89.61559,2018,09,26,             10.00,   23.09,              5.58
-0.91439,-89.61559,2018,09,27,             10.16,   23.51,              3.73
-0.91439,-89.61559,2018,09,28,             10.00,   23.93,              5.83
-0.91439,-89.61559,2018,09,29,             10.16,   24.04,              5.76
-0.91439,-89.61559,2018,09,30,             10.04,   24.08,              2.99
-0.91439,-89.61559,2018,10,01,             10.02,   24.25,              2.52
-0.91439,-89.61559,2018,10,02,              9.80,   24.65,              5.78
-0.91439,-89.61559,2018,10,03,             10.02,   24.57,              6.25
-0.91439,-89.61559,2018,10,04,              9.27,   24.25,              7.23
-0.91439,-89.61559,2018,10,05,              8.93,   24.17,              7.35
-0.91439,-89.61559,2018,10,06,              9.14,   23.97,              6.77
-0.91439,-89.61559,2018,10,07,              9.11,   23.90,              7.07
-0.91439,-89.61559,2018,10,08,              9.43,   24.04,              5.93
-0.91439,-89.61559,2018,10,09,              8.94,   23.97,              6.92
-0.91439,-89.61559,2018,10,10,              9.48,   23.85,              6.16
-0.91439,-89.61559,2018,10,11,              9.35,   23.83,              5.88
-0.91439,-89.61559,2018,10,12,              9.77,   23.74,              5.40
-0.91439,-89.61559,2018,10,13,              9.61,   23.43,              6.53
-0.91439,-89.61559,2018,10,14,              9.90,   23.06,              4.37
-0.91439,-89.61559,2018,10,15,              8.96,   22.75,              7.20
-0.91439,-89.61559,2018,10,16,              8.59,   22.65,              7.32
-0.91439,-89.61559,2018,10,17,              8.75,   22.60,              7.11
-0.91439,-89.61559,2018,10,18,              8.70,   22.53,              7.15
-0.91439,-89.61559,2018,10,19,              9.29,   22.51,              6.24
-0.91439,-89.61559,2018,10,20,              9.00,   22.45,              7.19
-0.91439,-89.61559,2018,10,21,              9.29,   22.47,              6.76
-0.91439,-89.61559,2018,10,22,              9.50,   22.49,              5.65
-0.91439,-89.61559,2018,10,23,             10.06,   22.47,              4.25
-0.91439,-89.61559,2018,10,24,              9.82,   22.53,              4.14
-0.91439,-89.61559,2018,10,25,              9.29,   22.61,              7.02
-0.91439,-89.61559,2018,10,26,              9.27,   22.66,              7.24
-0.91439,-89.61559,2018,10,27,              9.07,   22.60,              7.16
-0.91439,-89.61559,2018,10,28,              9.17,   22.69,              7.01
-0.91439,-89.61559,2018,10,29,              9.09,   22.86,              7.18
-0.91439,-89.61559,2018,10,30,              9.75,   23.05,              4.54
-0.91439,-89.61559,2018,10,31,              9.88,   23.13,              5.85
-0.91439,-89.61559,2018,11,01,              9.65,   23.17,              6.43
-0.91439,-89.61559,2018,11,02,              9.98,   23.27,              6.06
-0.91439,-89.61559,2018,11,03,              9.68,   23.17,              6.57
-0.91439,-89.61559,2018,11,04,              9.93,   23.20,              6.50
-0.91439,-89.61559,2018,11,05,              9.69,   23.13,              5.90
-0.91439,-89.61559,2018,11,06,              9.15,   23.10,              6.78
-0.91439,-89.61559,2018,11,07,              9.43,   23.13,              6.59
-0.91439,-89.61559,2018,11,08,              9.69,   23.19,              5.91
-0.91439,-89.61559,2018,11,09,              9.58,   23.23,              6.01
-0.91439,-89.61559,2018,11,10,              9.42,   23.27,              6.75
-0.91439,-89.61559,2018,11,11,              9.94,   23.16,              6.58
-0.91439,-89.61559,2018,11,12,              9.93,   23.15,              6.35
-0.91439,-89.61559,2018,11,13,             10.22,   23.21,              5.55
-0.91439,-89.61559,2018,11,14,              9.96,   23.30,              6.08
-0.91439,-89.61559,2018,11,15,              9.95,   23.13,              5.35
-0.91439,-89.61559,2018,11,16,              9.76,   23.17,              5.82
-0.91439,-89.61559,2018,11,17,              9.91,   23.10,              4.39
-0.91439,-89.61559,2018,11,18,              9.90,   23.11,              5.58
-0.91439,-89.61559,2018,11,19,              9.67,   23.13,              6.42
-0.91439,-89.61559,2018,11,20,              9.81,   23.06,              6.12
-0.91439,-89.61559,2018,11,21,              9.55,   23.08,              6.61
-0.91439,-89.61559,2018,11,22,              9.69,   23.20,              6.03
-0.91439,-89.61559,2018,11,23,              9.85,   23.22,              5.62
-0.91439,-89.61559,2018,11,24,              9.86,   23.42,              5.23
-0.91439,-89.61559,2018,11,25,              9.73,   23.69,              4.58
-0.91439,-89.61559,2018,11,26,              9.50,   23.85,              6.60
-0.91439,-89.61559,2018,11,27,              9.90,   24.06,              6.49
-0.91439,-89.61559,2018,11,28,              9.99,   24.15,              4.35
-0.91439,-89.61559,2018,11,29,              9.86,   24.44,              5.88
-0.91439,-89.61559,2018,11,30,              9.84,   24.76,              6.36
-0.91439,-89.61559,2018,12,01,              9.77,   24.76,              5.70
-0.91439,-89.61559,2018,12,02,             10.41,   24.90,              4.69
-0.91439,-89.61559,2018,12,03,             10.42,   24.90,              4.86
-0.91439,-89.61559,2018,12,04,             10.13,   24.80,              4.68
-0.91439,-89.61559,2018,12,05,              9.90,   24.68,              4.31
-0.91439,-89.61559,2018,12,06,              9.57,   24.53,              6.13
-0.91439,-89.61559,2018,12,07,              9.51,   24.46,              5.87
-0.91439,-89.61559,2018,12,08,              8.91,   24.60,              7.04
-0.91439,-89.61559,2018,12,09,              9.59,   24.60,              6.06
-0.91439,-89.61559,2018,12,10,             10.34,   24.47,              5.77
-0.91439,-89.61559,2018,12,11,             10.14,   24.45,              6.75
-0.91439,-89.61559,2018,12,12,             10.41,   24.32,              3.62
-0.91439,-89.61559,2018,12,13,             10.31,   24.41,              5.46
-0.91439,-89.61559,2018,12,14,             10.45,   24.69,              4.88
-0.91439,-89.61559,2018,12,15,             10.42,   24.89,              4.48
-0.91439,-89.61559,2018,12,16,             10.43,   25.09,              4.59
-0.91439,-89.61559,2018,12,17,             10.11,   25.28,              5.97
-0.91439,-89.61559,2018,12,18,             10.10,   25.41,              6.12
-0.91439,-89.61559,2018,12,19,              9.89,   25.54,              5.84
-0.91439,-89.61559,2018,12,20,             10.20,   25.65,              4.05
-0.91439,-89.61559,2018,12,21,             10.37,   25.70,              5.51
-0.91439,-89.61559,2018,12,22,             10.42,   25.80,              4.31
-0.91439,-89.61559,2018,12,23,             10.03,   25.89,              6.34
-0.91439,-89.61559,2018,12,24,             10.10,   26.10,              6.39
-0.91439,-89.61559,2018,12,25,             10.39,   26.23,              5.02
-0.91439,-89.61559,2018,12,26,             10.53,   26.30,              5.05
-0.91439,-89.61559,2018,12,27,             10.53,   26.20,              5.91
-0.91439,-89.61559,2018,12,28,             10.29,   26.29,              6.30
-0.91439,-89.61559,2018,12,29,             10.50,   26.30,              4.79
-0.91439,-89.61559,2018,12,30,             10.22,   26.16,              5.51
-0.91439,-89.61559,2018,12,31,             10.03,   26.13,              6.24
